instancia,otimo,repeticoes,media_bins,melhor_bins,pior_bins,media_tempo_s,melhor_tempo_s,pior_tempo_s
u120_00.txt,48,10,49,49,49,0,0,0
u120_01.txt,49,10,49,49,49,0,0,0
u120_02.txt,46,10,47,47,47,0,0,0
u250_00.txt,99,10,100,100,100,9.99928e-05,0,0.000999928
u250_01.txt,100,10,101,101,101,0,0,0
u250_02.txt,102,10,104,104,104,0,0,0
u500_00.txt,198,10,201,201,201,0.000300002,0,0.00100017
u500_01.txt,201,10,204,204,204,0.000300002,0,0.00100017
u500_02.txt,202,10,205,205,205,0.000300002,0,0.00100017
u1000_00.txt,399,10,403,403,403,0.00110002,0,0.00200009
u1000_01.txt,406,10,411,411,411,0.000999999,0.000999928,0.00100017
u1000_02.txt,411,10,416,416,416,0.000999999,0.000999928,0.00100017
