instancia,otimo,repeticoes,media_bins,melhor_bins,pior_bins,media_tempo_s,melhor_tempo_s,pior_tempo_s
u120_00.txt,48,10,49,49,49,0.00480001,0.00399995,0.00600004
u120_01.txt,49,10,49,49,49,0.0102,0.00899982,0.0150001
u120_02.txt,46,10,47,47,47,0.00439997,0.00399995,0.00500011
u250_00.txt,99,10,100,100,100,0.01,0.00900006,0.0120001
u250_01.txt,100,10,101,101,101,0.00779998,0.00699997,0.00800014
u250_02.txt,102,10,104,104,104,0.0138,0.0120001,0.016
u500_00.txt,198,10,201,201,201,0.0198,0.0170002,0.0280001
u500_01.txt,201,10,204,204,204,0.0216,0.02,0.026
u500_02.txt,202,10,205,205,205,0.0185,0.017,0.0209999
u1000_00.txt,399,10,403,403,403,0.0391,0.036,0.0440001
u1000_01.txt,406,10,411,411,411,0.0376,0.036,0.0400002
u1000_02.txt,411,10,416,416,416,0.0316,0.03,0.0339999
