instancia,otimo,repeticoes,media_bins,melhor_bins,pior_bins,media_tempo_s,melhor_tempo_s,pior_tempo_s
u120_00.txt,48,10,51,50,53,0.0108,0.00600004,0.0189998
u120_01.txt,49,10,51.6,51,53,0.0108,0.00699997,0.0249999
u120_02.txt,46,10,48.7,48,49,0.0111,0.00699997,0.0190001
u250_00.txt,99,10,105.1,104,106,0.0234,0.00699997,0.046
u250_01.txt,100,10,105.8,105,107,0.0281,0.0079999,0.0449998
u250_02.txt,102,10,107.9,107,109,0.0163,0.00699997,0.036
u500_00.txt,198,10,209.3,209,210,0.0343,0.0140002,0.0639999
u500_01.txt,201,10,212.5,210,214,0.0461,0.0240002,0.0940001
u500_02.txt,202,10,213,212,215,0.0447,0.023,0.11
u1000_00.txt,399,10,419.3,418,421,0.0637,0.04,0.105
u1000_01.txt,406,10,427.4,426,429,0.0972999,0.0279999,0.154
u1000_02.txt,411,10,432.1,430,435,0.0863,0.027,0.168
