instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u1000_00.txt,399,16,3,20,403,403,403,22.8578,30,0
u1000_00.txt,399,16,3,35,403,403,403,24.7898,30,0
u1000_00.txt,399,16,3,50,404.533,404,405,28.0205,30,0
u1000_00.txt,399,16,3,70,406.367,406,407,34.9694,30,0
u1000_00.txt,399,16,3,90,406.233,406,407,39.1621,30,0
u1000_00.txt,399,16,5,20,403,403,403,22.233,30,0
u1000_00.txt,399,16,5,35,403,403,403,24.9282,30,0
u1000_00.txt,399,16,5,50,404.4,404,405,28.5964,30,0
u1000_00.txt,399,16,5,70,406.267,406,407,33.5406,30,0
u1000_00.txt,399,16,5,90,406.433,406,407,37.1303,30,0
u1000_00.txt,399,30,3,20,403,403,403,42.3041,30,0
u1000_00.txt,399,30,3,35,403,403,403,46.7616,30,0
u1000_00.txt,399,30,3,50,404.167,404,405,59.2934,30,0
u1000_00.txt,399,30,3,70,406,406,406,66.4941,30,0
u1000_00.txt,399,30,3,90,406,406,406,71.3536,30,0
u1000_00.txt,399,30,5,20,403,403,403,41.7184,30,0
u1000_00.txt,399,30,5,35,403,403,403,46.3887,30,0
u1000_00.txt,399,30,5,50,404.133,404,405,56.0078,30,0
u1000_00.txt,399,30,5,70,406,406,406,60.4765,30,0
u1000_00.txt,399,30,5,90,406.033,406,407,69.4656,30,0
u1000_00.txt,399,60,3,20,403,403,403,83.9822,30,0
u1000_00.txt,399,60,3,35,403,403,403,92.2954,30,0
u1000_00.txt,399,60,3,50,404,404,404,110.023,30,0
u1000_00.txt,399,60,3,70,405.9,405,406,130.682,30,0
