instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_00.txt,48,16,2,20,49,49,49,0.10119,100,0
u120_00.txt,48,16,2,35,49,49,49,0.1085,100,0
u120_00.txt,48,16,2,50,49,49,49,0.11553,100,0
u120_00.txt,48,16,2,60,49,49,49,0.12289,100,0
u120_00.txt,48,16,2,70,49,49,49,0.12875,100,0
u120_00.txt,48,16,2,80,49,49,49,0.15001,100,0
u120_00.txt,48,16,2,90,49,49,49,0.15294,100,0
u120_00.txt,48,16,3,20,49,49,49,0.10216,100,0
u120_00.txt,48,16,3,35,49,49,49,0.10938,100,0
u120_00.txt,48,16,3,50,48.99,48,49,0.11935,100,0
u120_00.txt,48,16,3,60,49,49,49,0.12438,100,0
u120_00.txt,48,16,3,70,49,49,49,0.13265,100,0
u120_00.txt,48,16,3,80,49,49,49,0.14205,100,0
u120_00.txt,48,16,3,90,49,49,49,0.15049,100,0
u120_00.txt,48,16,4,20,49,49,49,0.10531,100,0
u120_00.txt,48,16,4,35,49,49,49,0.11404,100,0
u120_00.txt,48,16,4,50,48.99,48,49,0.1247,100,0
u120_00.txt,48,16,4,60,49,49,49,0.13143,100,0
u120_00.txt,48,16,4,70,49,49,49,0.13653,100,0
u120_00.txt,48,16,4,80,49,49,49,0.14716,100,0
u120_00.txt,48,16,4,90,49,49,49,0.1547,100,0
u120_00.txt,48,16,5,20,49,49,49,0.10694,100,0
u120_00.txt,48,16,5,35,49,49,49,0.10817,100,0
u120_00.txt,48,16,5,50,48.99,48,49,0.11996,100,0
u120_00.txt,48,16,5,60,49,49,49,0.12474,100,0
u120_00.txt,48,16,5,70,49,49,49,0.13083,100,0
u120_00.txt,48,16,5,80,49,49,49,0.13942,100,0
u120_00.txt,48,16,5,90,49,49,49,0.14999,100,0
u120_00.txt,48,16,6,20,49,49,49,0.1024,100,0
u120_00.txt,48,16,6,35,49,49,49,0.10968,100,0
u120_00.txt,48,16,6,50,49,49,49,0.1187,100,0
u120_00.txt,48,16,6,60,49,49,49,0.1246,100,0
u120_00.txt,48,16,6,70,49,49,49,0.1303,100,0
u120_00.txt,48,16,6,80,49,49,49,0.14148,100,0
u120_00.txt,48,16,6,90,49,49,49,0.14823,100,0
u120_00.txt,48,16,8,20,49,49,49,0.10099,100,0
u120_00.txt,48,16,8,35,49,49,49,0.10785,100,0
u120_00.txt,48,16,8,50,48.99,48,49,0.1175,100,0
u120_00.txt,48,16,8,60,49,49,49,0.12375,100,0
u120_00.txt,48,16,8,70,49,49,49,0.12727,100,0
u120_00.txt,48,16,8,80,49,49,49,0.13799,100,0
u120_00.txt,48,16,8,90,49,49,49,0.14234,100,0
u120_00.txt,48,16,10,20,49,49,49,0.09806,100,0
u120_00.txt,48,16,10,35,49,49,49,0.10594,100,0
u120_00.txt,48,16,10,50,48.98,48,49,0.11603,100,0
u120_00.txt,48,16,10,60,48.99,48,49,0.12058,100,0
u120_00.txt,48,16,10,70,49,49,49,0.12643,100,0
u120_00.txt,48,16,10,80,49,49,49,0.1373,100,0
u120_00.txt,48,16,10,90,49,49,49,0.14704,100,0
u120_00.txt,48,20,2,20,49,49,49,0.12548,100,0
u120_00.txt,48,20,2,35,49,49,49,0.13406,100,0
u120_00.txt,48,20,2,50,48.96,48,49,0.15074,100,0
u120_00.txt,48,20,2,60,49,49,49,0.15491,100,0
u120_00.txt,48,20,2,70,49,49,49,0.16405,100,0
u120_00.txt,48,20,2,80,49,49,49,0.17832,100,0
u120_00.txt,48,20,2,90,49,49,49,0.18732,100,0
u120_00.txt,48,20,3,20,49,49,49,0.12439,100,0
u120_00.txt,48,20,3,35,49,49,49,0.13185,100,0
u120_00.txt,48,20,3,50,49,49,49,0.14572,100,0
u120_00.txt,48,20,3,60,49,49,49,0.15552,100,0
u120_00.txt,48,20,3,70,49,49,49,0.15933,100,0
u120_00.txt,48,20,3,80,49,49,49,0.17322,100,0
u120_00.txt,48,20,3,90,49,49,49,0.1829,100,0
u120_00.txt,48,20,4,20,49,49,49,0.12336,100,0
u120_00.txt,48,20,4,35,49,49,49,0.13388,100,0
u120_00.txt,48,20,4,50,49,49,49,0.14674,100,0
u120_00.txt,48,20,4,60,48.99,48,49,0.15568,100,0
u120_00.txt,48,20,4,70,49,49,49,0.16286,100,0
u120_00.txt,48,20,4,80,49,49,49,0.17828,100,0
u120_00.txt,48,20,4,90,49,49,49,0.18626,100,0
u120_00.txt,48,20,5,20,49,49,49,0.12701,100,0
u120_00.txt,48,20,5,35,49,49,49,0.13444,100,0
u120_00.txt,48,20,5,50,48.99,48,49,0.14554,100,0
u120_00.txt,48,20,5,60,49,49,49,0.15039,100,0
u120_00.txt,48,20,5,70,49,49,49,0.15822,100,0
u120_00.txt,48,20,5,80,49,49,49,0.17246,100,0
u120_00.txt,48,20,5,90,49,49,49,0.18223,100,0
u120_00.txt,48,20,6,20,49,49,49,0.12329,100,0
u120_00.txt,48,20,6,35,49,49,49,0.13095,100,0
u120_00.txt,48,20,6,50,48.99,48,49,0.1439,100,0
u120_00.txt,48,20,6,60,49,49,49,0.15027,100,0
u120_00.txt,48,20,6,70,49,49,49,0.15878,100,0
u120_00.txt,48,20,6,80,49,49,49,0.1726,100,0
u120_00.txt,48,20,6,90,49,49,49,0.18534,100,0
u120_00.txt,48,20,8,20,49,49,49,0.13025,100,0
u120_00.txt,48,20,8,35,49,49,49,0.1347,100,0
u120_00.txt,48,20,8,50,49,49,49,0.14745,100,0
u120_00.txt,48,20,8,60,48.99,48,49,0.15515,100,0
u120_00.txt,48,20,8,70,49,49,49,0.16128,100,0
u120_00.txt,48,20,8,80,49,49,49,0.1712,100,0
u120_00.txt,48,20,8,90,49,49,49,0.17945,100,0
u120_00.txt,48,20,10,20,49,49,49,0.12327,100,0
u120_00.txt,48,20,10,35,49,49,49,0.13149,100,0
u120_00.txt,48,20,10,50,48.99,48,49,0.14366,100,0
u120_00.txt,48,20,10,60,48.99,48,49,0.15051,100,0
u120_00.txt,48,20,10,70,49,49,49,0.15767,100,0
u120_00.txt,48,20,10,80,49,49,49,0.17065,100,0
u120_00.txt,48,20,10,90,49,49,49,0.17907,100,0
u120_00.txt,48,30,2,20,49,49,49,0.18431,100,0
u120_00.txt,48,30,2,35,49,49,49,0.2013,100,0
u120_00.txt,48,30,2,50,48.94,48,49,0.23584,100,0
u120_00.txt,48,30,2,60,48.99,48,49,0.23397,100,0
u120_00.txt,48,30,2,70,49,49,49,0.2422,100,0
u120_00.txt,48,30,2,80,49,49,49,0.26525,100,0
u120_00.txt,48,30,2,90,49,49,49,0.27887,100,0
u120_00.txt,48,30,3,20,49,49,49,0.18478,100,0
u120_00.txt,48,30,3,35,49,49,49,0.19684,100,0
u120_00.txt,48,30,3,50,48.99,48,49,0.21752,100,0
u120_00.txt,48,30,3,60,49,49,49,0.2258,100,0
u120_00.txt,48,30,3,70,49,49,49,0.23879,100,0
u120_00.txt,48,30,3,80,49,49,49,0.26354,100,0
u120_00.txt,48,30,3,90,49,49,49,0.27953,100,0
u120_00.txt,48,30,4,20,49,49,49,0.18693,100,0
u120_00.txt,48,30,4,35,49,49,49,0.20032,100,0
u120_00.txt,48,30,4,50,48.98,48,49,0.22095,100,0
u120_00.txt,48,30,4,60,48.99,48,49,0.23071,100,0
u120_00.txt,48,30,4,70,49,49,49,0.23921,100,0
u120_00.txt,48,30,4,80,49,49,49,0.25993,100,0
u120_00.txt,48,30,4,90,49,49,49,0.27704,100,0
u120_00.txt,48,30,5,20,49,49,49,0.18664,100,0
u120_00.txt,48,30,5,35,49,49,49,0.20049,100,0
u120_00.txt,48,30,5,50,48.98,48,49,0.22059,100,0
u120_00.txt,48,30,5,60,49,49,49,0.22984,100,0
u120_00.txt,48,30,5,70,49,49,49,0.24351,100,0
u120_00.txt,48,30,5,80,49,49,49,0.26459,100,0
u120_00.txt,48,30,5,90,49,49,49,0.27869,100,0
u120_00.txt,48,30,6,20,49,49,49,0.18884,100,0
u120_00.txt,48,30,6,35,49,49,49,0.2011,100,0
u120_00.txt,48,30,6,50,49,49,49,0.21862,100,0
u120_00.txt,48,30,6,60,48.99,48,49,0.23201,100,0
u120_00.txt,48,30,6,70,48.99,48,49,0.23904,100,0
u120_00.txt,48,30,6,80,49,49,49,0.25918,100,0
u120_00.txt,48,30,6,90,49,49,49,0.2729,100,0
u120_00.txt,48,30,8,20,49,49,49,0.18785,100,0
u120_00.txt,48,30,8,35,49,49,49,0.19878,100,0
u120_00.txt,48,30,8,50,49,49,49,0.21892,100,0
u120_00.txt,48,30,8,60,49,49,49,0.23048,100,0
u120_00.txt,48,30,8,70,49,49,49,0.2414,100,0
u120_00.txt,48,30,8,80,49,49,49,0.25964,100,0
u120_00.txt,48,30,8,90,49,49,49,0.27146,100,0
u120_00.txt,48,30,10,20,49,49,49,0.18457,100,0
u120_00.txt,48,30,10,35,49,49,49,0.19685,100,0
u120_00.txt,48,30,10,50,48.99,48,49,0.21516,100,0
u120_00.txt,48,30,10,60,48.99,48,49,0.22882,100,0
u120_00.txt,48,30,10,70,49,49,49,0.23589,100,0
u120_00.txt,48,30,10,80,49,49,49,0.25962,100,0
u120_00.txt,48,30,10,90,49,49,49,0.2708,100,0
u120_00.txt,48,40,2,20,49,49,49,0.24961,100,0
u120_00.txt,48,40,2,35,49,49,49,0.26541,100,0
u120_00.txt,48,40,2,50,48.95,48,49,0.30667,100,0
u120_00.txt,48,40,2,60,49,49,49,0.30793,100,0
u120_00.txt,48,40,2,70,49,49,49,0.31941,100,0
u120_00.txt,48,40,2,80,49,49,49,0.34987,100,0
u120_00.txt,48,40,2,90,49,49,49,0.37106,100,0
u120_00.txt,48,40,3,20,49,49,49,0.24612,100,0
u120_00.txt,48,40,3,35,49,49,49,0.26687,100,0
u120_00.txt,48,40,3,50,48.97,48,49,0.29526,100,0
u120_00.txt,48,40,3,60,48.99,48,49,0.31391,100,0
u120_00.txt,48,40,3,70,49,49,49,0.32493,100,0
u120_00.txt,48,40,3,80,49,49,49,0.34764,100,0
u120_00.txt,48,40,3,90,49,49,49,0.37099,100,0
u120_00.txt,48,40,4,20,49,49,49,0.24587,100,0
u120_00.txt,48,40,4,35,49,49,49,0.26268,100,0
u120_00.txt,48,40,4,50,48.91,48,49,0.31398,100,0
u120_00.txt,48,40,4,60,49,49,49,0.31015,100,0
u120_00.txt,48,40,4,70,49,49,49,0.32514,100,0
u120_00.txt,48,40,4,80,49,49,49,0.35163,100,0
u120_00.txt,48,40,4,90,49,49,49,0.36557,100,0
u120_00.txt,48,40,5,20,49,49,49,0.2472,100,0
u120_00.txt,48,40,5,35,49,49,49,0.26493,100,0
u120_00.txt,48,40,5,50,48.97,48,49,0.2916,100,0
u120_00.txt,48,40,5,60,48.99,48,49,0.30499,100,0
u120_00.txt,48,40,5,70,49,49,49,0.32261,100,0
u120_00.txt,48,40,5,80,49,49,49,0.34781,100,0
u120_00.txt,48,40,5,90,49,49,49,0.3707,100,0
u120_00.txt,48,40,6,20,49,49,49,0.24944,100,0
u120_00.txt,48,40,6,35,49,49,49,0.2637,100,0
u120_00.txt,48,40,6,50,48.99,48,49,0.28943,100,0
u120_00.txt,48,40,6,60,48.99,48,49,0.30595,100,0
u120_00.txt,48,40,6,70,49,49,49,0.31794,100,0
u120_00.txt,48,40,6,80,49,49,49,0.34576,100,0
u120_00.txt,48,40,6,90,49,49,49,0.36774,100,0
u120_00.txt,48,40,8,20,49,49,49,0.24778,100,0
u120_00.txt,48,40,8,35,49,49,49,0.26689,100,0
u120_00.txt,48,40,8,50,48.95,48,49,0.30044,100,0
u120_00.txt,48,40,8,60,49,49,49,0.30668,100,0
u120_00.txt,48,40,8,70,49,49,49,0.32335,100,0
u120_00.txt,48,40,8,80,49,49,49,0.35054,100,0
u120_00.txt,48,40,8,90,49,49,49,0.36945,100,0
u120_00.txt,48,40,10,20,49,49,49,0.24867,100,0
u120_00.txt,48,40,10,35,49,49,49,0.26419,100,0
u120_00.txt,48,40,10,50,48.95,48,49,0.30086,100,0
u120_00.txt,48,40,10,60,49,49,49,0.30758,100,0
u120_00.txt,48,40,10,70,49,49,49,0.32456,100,0
u120_00.txt,48,40,10,80,49,49,49,0.34988,100,0
u120_00.txt,48,40,10,90,49,49,49,0.36408,100,0
u120_00.txt,48,60,2,20,49,49,49,0.37053,100,0
u120_00.txt,48,60,2,35,49,49,49,0.39409,100,0
u120_00.txt,48,60,2,50,48.95,48,49,0.4469,100,0
u120_00.txt,48,60,2,60,48.99,48,49,0.47438,100,0
u120_00.txt,48,60,2,70,49,49,49,0.48861,100,0
u120_00.txt,48,60,2,80,49,49,49,0.52762,100,0
u120_00.txt,48,60,2,90,49,49,49,0.55758,100,0
u120_00.txt,48,60,3,20,49,49,49,0.36865,100,0
u120_00.txt,48,60,3,35,49,49,49,0.39884,100,0
u120_00.txt,48,60,3,50,48.93,48,49,0.46703,100,0
u120_00.txt,48,60,3,60,48.99,48,49,0.47271,100,0
u120_00.txt,48,60,3,70,49,49,49,0.48757,100,0
u120_00.txt,48,60,3,80,49,49,49,0.52471,100,0
u120_00.txt,48,60,3,90,49,49,49,0.55927,100,0
u120_00.txt,48,60,4,20,49,49,49,0.3767,100,0
u120_00.txt,48,60,4,35,49,49,49,0.40089,100,0
u120_00.txt,48,60,4,50,48.95,48,49,0.45669,100,0
u120_00.txt,48,60,4,60,48.99,48,49,0.46219,100,0
u120_00.txt,48,60,4,70,48.99,48,49,0.48709,100,0
u120_00.txt,48,60,4,80,49,49,49,0.52071,100,0
u120_00.txt,48,60,4,90,49,49,49,0.55943,100,0
u120_00.txt,48,60,5,20,49,49,49,0.37486,100,0
u120_00.txt,48,60,5,35,49,49,49,0.40043,100,0
u120_00.txt,48,60,5,50,48.94,48,49,0.44869,100,0
u120_00.txt,48,60,5,60,49,49,49,0.4563,100,0
u120_00.txt,48,60,5,70,49,49,49,0.48377,100,0
u120_00.txt,48,60,5,80,48.99,48,49,0.53009,100,0
u120_00.txt,48,60,5,90,49,49,49,0.56004,100,0
u120_00.txt,48,60,6,20,49,49,49,0.37125,100,0
u120_00.txt,48,60,6,35,49,49,49,0.39658,100,0
u120_00.txt,48,60,6,50,48.94,48,49,0.45901,100,0
u120_00.txt,48,60,6,60,48.99,48,49,0.47069,100,0
u120_00.txt,48,60,6,70,49,49,49,0.48926,100,0
u120_00.txt,48,60,6,80,49,49,49,0.52474,100,0
u120_00.txt,48,60,6,90,49,49,49,0.5511,100,0
u120_00.txt,48,60,8,20,49,49,49,0.36838,100,0
u120_00.txt,48,60,8,35,49,49,49,0.3927,100,0
u120_00.txt,48,60,8,50,48.95,48,49,0.45236,100,0
u120_00.txt,48,60,8,60,49,49,49,0.45994,100,0
u120_00.txt,48,60,8,70,48.99,48,49,0.49382,100,0
u120_00.txt,48,60,8,80,49,49,49,0.52159,100,0
u120_00.txt,48,60,8,90,49,49,49,0.54879,100,0
u120_00.txt,48,60,10,20,49,49,49,0.37008,100,0
u120_00.txt,48,60,10,35,49,49,49,0.3972,100,0
u120_00.txt,48,60,10,50,48.98,48,49,0.43992,100,0
u120_00.txt,48,60,10,60,48.99,48,49,0.46099,100,0
u120_00.txt,48,60,10,70,49,49,49,0.48729,100,0
u120_00.txt,48,60,10,80,49,49,49,0.51709,100,0
u120_00.txt,48,60,10,90,49,49,49,0.54494,100,0
u120_00.txt,48,80,2,20,49,49,49,0.4942,100,0
u120_00.txt,48,80,2,35,49,49,49,0.53655,100,0
u120_00.txt,48,80,2,50,48.93,48,49,0.62367,100,0
u120_00.txt,48,80,2,60,48.98,48,49,0.63319,100,0
u120_00.txt,48,80,2,70,49,49,49,0.64598,100,0
u120_00.txt,48,80,2,80,49,49,49,0.7196,100,0
u120_00.txt,48,80,2,90,49,49,49,0.76355,100,0
u120_00.txt,48,80,3,20,49,49,49,0.49413,100,0
u120_00.txt,48,80,3,35,49,49,49,0.53185,100,0
u120_00.txt,48,80,3,50,48.9,48,49,0.64911,100,0
