instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_02.txt,46,16,3,20,47,47,47,0.4791,10,0
u120_02.txt,46,16,3,35,47,47,47,0.5035,10,0
u120_02.txt,46,16,3,50,47,47,47,0.5525,10,0
u120_02.txt,46,16,3,70,47,47,47,0.598,10,0
u120_02.txt,46,16,3,90,47,47,47,0.6651,10,0
u120_02.txt,46,16,5,20,47,47,47,0.4747,10,0
u120_02.txt,46,16,5,35,47,47,47,0.5116,10,0
u120_02.txt,46,16,5,50,47,47,47,0.5598,10,0
u120_02.txt,46,16,5,70,47,47,47,0.5991,10,0
u120_02.txt,46,16,5,90,47,47,47,0.6735,10,0
u120_02.txt,46,30,3,20,47,47,47,0.9058,10,0
u120_02.txt,46,30,3,35,47,47,47,0.9723,10,0
u120_02.txt,46,30,3,50,46.8,46,47,1.2367,10,0
u120_02.txt,46,30,3,70,47,47,47,1.1434,10,0
u120_02.txt,46,30,3,90,47,47,47,1.285,10,0
u120_02.txt,46,30,5,20,47,47,47,0.9218,10,0
u120_02.txt,46,30,5,35,47,47,47,0.9752,10,0
u120_02.txt,46,30,5,50,46.9,46,47,1.0758,10,0
u120_02.txt,46,30,5,70,47,47,47,1.1202,10,0
u120_02.txt,46,30,5,90,47,47,47,1.2289,10,0
u120_02.txt,46,60,3,20,47,47,47,1.7836,10,0
u120_02.txt,46,60,3,35,47,47,47,1.9497,10,0
u120_02.txt,46,60,3,50,46.9,46,47,2.1585,10,0
u120_02.txt,46,60,3,70,47,47,47,2.2899,10,0
u120_02.txt,46,60,3,90,47,47,47,2.5275,10,0
u120_02.txt,46,60,5,20,47,47,47,1.8298,10,0
u120_02.txt,46,60,5,35,47,47,47,1.8886,10,0
u120_02.txt,46,60,5,50,47,47,47,2.0402,10,0
u120_02.txt,46,60,5,70,46.9,46,47,2.3653,10,0
u120_02.txt,46,60,5,90,47,47,47,2.4494,10,0
u120_02.txt,46,100,3,20,47,47,47,2.9498,10,0
u120_02.txt,46,100,3,35,47,47,47,3.1616,10,0
u120_02.txt,46,100,3,50,46.8,46,47,3.9158,10,0
u120_02.txt,46,100,3,70,47,47,47,3.7375,10,0
u120_02.txt,46,100,3,90,47,47,47,4.1751,10,0
u120_02.txt,46,100,5,20,47,47,47,2.9546,10,0
u120_02.txt,46,100,5,35,47,47,47,3.1654,10,0
u120_02.txt,46,100,5,50,47,47,47,3.3976,10,0
u120_02.txt,46,100,5,70,47,47,47,3.6557,10,0
u120_02.txt,46,100,5,90,46.7,46,47,4.8235,10,0
