instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u250_00.txt,99,16,3,20,100.6,100,101,1.8152,10,0
u250_00.txt,99,16,3,35,100.9,100,101,2.027,10,0
u250_00.txt,99,16,3,50,101,101,101,2.2537,10,0
u250_00.txt,99,16,3,70,101.1,101,102,3.0841,10,0
u250_00.txt,99,16,3,90,101.4,101,102,3.1274,10,0
u250_00.txt,99,16,5,20,100.5,100,101,1.9278,10,0
u250_00.txt,99,16,5,35,100.5,100,101,2.2838,10,0
u250_00.txt,99,16,5,50,101,101,101,2.2377,10,0
u250_00.txt,99,16,5,70,101,101,101,2.7555,10,0
u250_00.txt,99,16,5,90,101.8,101,102,2.9413,10,0
u250_00.txt,99,30,3,20,100,100,100,3.9058,10,0
u250_00.txt,99,30,3,35,100.6,100,101,4.4059,10,0
u250_00.txt,99,30,3,50,101,101,101,4.244,10,0
u250_00.txt,99,30,3,70,100.9,100,101,5.4068,10,0
u250_00.txt,99,30,3,90,101.2,101,102,5.9419,10,0
u250_00.txt,99,30,5,20,100.1,100,101,3.5631,10,0
u250_00.txt,99,30,5,35,100.6,100,101,3.8717,10,0
u250_00.txt,99,30,5,50,100.8,100,101,4.7635,10,0
u250_00.txt,99,30,5,70,101.1,101,102,4.9065,10,0
u250_00.txt,99,30,5,90,101.4,101,102,5.6635,10,0
u250_00.txt,99,60,3,20,100,100,100,7.4804,10,0
u250_00.txt,99,60,3,35,100.3,100,101,9.4493,10,0
u250_00.txt,99,60,3,50,100.6,100,101,10.2372,10,0
u250_00.txt,99,60,3,70,100.9,100,101,10.89,10,0
u250_00.txt,99,60,3,90,101,101,101,13.7737,10,0
u250_00.txt,99,60,5,20,100,100,100,7.1865,10,0
u250_00.txt,99,60,5,35,100.4,100,101,8.6874,10,0
u250_00.txt,99,60,5,50,100.9,100,101,8.5945,10,0
u250_00.txt,99,60,5,70,100.9,100,101,10.7741,10,0
u250_00.txt,99,60,5,90,101.2,101,102,13.3527,10,0
u250_00.txt,99,100,3,20,100,100,100,12.2433,10,0
u250_00.txt,99,100,3,35,100,100,100,18.409,10,0
u250_00.txt,99,100,3,50,100.5,100,101,17.3608,10,0
u250_00.txt,99,100,3,70,100.8,100,101,17.8784,10,0
u250_00.txt,99,100,3,90,101,101,101,20.9816,10,0
u250_00.txt,99,100,5,20,100,100,100,11.9981,10,0
u250_00.txt,99,100,5,35,100.1,100,101,17.5278,10,0
u250_00.txt,99,100,5,50,100.4,100,101,17.8536,10,0
u250_00.txt,99,100,5,70,101,101,101,16.728,10,0
u250_00.txt,99,100,5,90,101,101,101,22.4952,10,0
